recruitNumber,name,detailLink,publishTime,catalog,workLocation
6,SNG10-视觉设计师（深圳）,http://hr.tencent.com/position_detail.php?id=16323&keywords=&tid=0&lid=0,2015-08-25,设计类,深圳
2,SA-web后台php工程师（深圳）,http://hr.tencent.com/position_detail.php?id=18062&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
4,ZX1-金融数据体系分析师（深圳）,http://hr.tencent.com/position_detail.php?id=21791&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
3,SNG16-QQ音乐Android开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=15475&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,MIG13-后台开发（深圳）,http://hr.tencent.com/position_detail.php?id=20565&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
3,SNG12-腾讯云后台开发高级工程师（北京）,http://hr.tencent.com/position_detail.php?id=21109&keywords=&tid=0&lid=0,2015-08-25,技术类,北京
2,TEG01-产品运营助理（深圳）,http://hr.tencent.com/position_detail.php?id=14219&keywords=&tid=0&lid=0,2014-09-19,产品/项目类,深圳
6,TEG03-高级算法研发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=21297&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,SNG08-QQ空间内容运营产品经理(深圳),http://hr.tencent.com/position_detail.php?id=21743&keywords=&tid=0&lid=0,2015-08-25,产品/项目类,深圳
2,MIG04-后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=22081&keywords=&tid=0&lid=0,2015-08-24,技术类,深圳
1,SH-企业文化与宣传专员（上海）,http://hr.tencent.com/position_detail.php?id=21925&keywords=&tid=0&lid=0,2015-08-25,职能类,上海
2,MIG18-众创空间商务拓展经理,http://hr.tencent.com/position_detail.php?id=21971&keywords=&tid=0&lid=0,2015-08-25,市场类,深圳
3,XN-C++后台开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=16488&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
2,SNG06-Android开发工程师（深圳）,http://hr.tencent.com/position_detail.php?id=17212&keywords=&tid=0&lid=0,2015-08-25,技术类,深圳
1,15618-游戏UI设计师（上海）,http://hr.tencent.com/position_detail.php?id=19254&keywords=&tid=0&lid=0,2015-08-25,设计类,上海
